timestamp,sample_num,lc1,lc2,lc3,lc4
1757512330.617470,10262,-208896,-3246593,-99328,22271
1757512330.618315,10263,-215552,-1871361,-90368,25855
1757512330.619230,10264,-214016,-3195649,-104704,28927
1757512330.620187,10265,-203008,-1930241,-96512,28671
1757512330.621046,10266,-208640,-2603521,-103424,29951
1757512330.621910,10267,-209408,-1880577,-96512,30207
1757512330.622706,10268,-208640,-2992129,-105984,30975
1757512330.623725,10269,-203776,-1969153,-102656,28927
1757512330.624705,10270,-201984,-3409153,-99840,26111
1757512330.625628,10271,-216064,-4306177,-92160,36095
1757512330.626481,10272,-207360,-1942529,-109056,30719
1757512330.627486,10273,-208640,-3773185,-101376,40703
1757512330.628395,10274,-208640,-1790977,-100352,17407
1757512330.629273,10275,-210432,-2844929,-93184,37119
1757512330.630204,10276,-212480,-1940737,-96768,27903
1757512330.631061,10277,-207872,-3404801,-97024,33023
1757512330.632019,10278,-215040,-2545409,-105728,37375
1757512330.632891,10279,-207104,-2332161,-100608,35839
1757512330.633839,10280,-207104,-1935617,-101632,30207
1757512330.634819,10281,-205312,-2646785,-97024,27135
1757512330.635551,10282,-212992,-1896705,-103424,20735
1757512330.636524,10283,-210944,-3403777,-97792,29951
1757512330.637405,10284,-209408,-2122497,-100608,27135
1757512330.638438,10285,-207616,-3174145,-108544,24319
1757512330.639235,10286,-210944,-3421697,-97280,36607
1757512330.640214,10287,-210944,-3308289,-97792,27903
1757512330.641102,10288,-207616,-2930177,-101376,29695
1757512330.641967,10289,-208896,-2980353,-100352,27391
1757512330.642898,10290,-209920,-3325697,-102144,29439
1757512330.643824,10291,-214784,-2800897,-107008,32255
1757512330.644795,10292,-210176,-2494977,-100608,29695
1757512330.645716,10293,-209408,-2744065,-92416,30975
1757512330.646632,10294,-208128,-2425089,-106240,23295
1757512330.647519,10295,-208384,-1667585,-95744,27391
1757512330.648472,10296,-204800,-3735553,-104704,19711
1757512330.649377,10297,-218880,-7283713,-107264,31487
1757512330.650295,10298,-209152,-2615297,-98816,31999
1757512330.651207,10299,-211456,-3624193,-108288,29183
1757512330.652100,10300,-219136,-2690817,-97536,34559
1757512330.652990,10301,-202496,-2985217,-95744,29695
1757512330.653924,10302,-208896,-2709249,-92928,25599
1757512330.654845,10303,-209920,-3830529,-97280,19711
1757512330.655802,10304,-210432,-2364929,-101376,25855
1757512330.656749,10305,-214528,-2713345,-105984,22783
1757512330.657645,10306,-212224,-2447617,-103424,25087
1757512330.658586,10307,-208128,-2895617,-103424,27135
1757512330.659480,10308,-206336,-1658369,-91648,17407
1757512330.660436,10309,-214016,-3232769,-100608,24063
1757512330.661319,10310,-199680,-2979073,-96256,17151
1757512330.662196,10311,-209664,-3154945,-100608,18175
1757512330.663149,10312,-211456,-1793537,-105728,14847
